,Question,Answer
0,                                Why was the use of hydroxychloroquine temporarily suspended in the Solidarity Trial?                            ,"In light of recent publications of evidence on the safety and efficacy of hydroxychloroquine as a treatment for COVID-19 patients, the Executive Group of the Solidarity Trial decided to implement a temporary pause of the hydroxychloroquine arm within the trial as a precaution while the safety data is being reviewed.As an example, an observational study published in the Lancet on 22 May found that, among 100 000 patients from multiple countries randomized to receive hydroxychloroquine, when used alone or with a macrolide, there was a higher mortality rate and an increased frequency of irregular heartbeats.A final decision on the harm, benefit or lack of benefit of hydroxychloroquine will be made once the evidence has been reviewed by the Data Safety Monitoring Board. This review will include data from the Solidarity Trial and other ongoing trials, as well as any evidence published so far. It is expected by mid-June."
1,                                What will happen to the people who are currently enrolled in the hydroxychloroquine arm of the trial?                            ,Those patients previously randomized to hydroxychloroquine treatment should continue to receive hydroxychloroquine until they finish their course of treatment. The use of hydroxychloroquine and chloroquine are accepted as generally safe for use in patients with autoimmune diseases or malaria.
2,"                                What is WHO’s view of ongoing prophylaxis treatments followed in some countries, which include the use of hydroxychloroquine?                            ","WHO is currently assessing the use of hydroxychloroquine on COVID-19 patients within the Solidarity Trial. The hydroxychloroquine arm has been paused as a precaution while the safety data is being reviewed.Every country, particularly those with regulatory authorities, is in a position to advise its citizens regarding the use of any drug. Although hydroxychloroquine and chloroquine are already licensed products for treating other diseases, at this stage, these drugs have not been found to be effective in the treatment of COVID-19. In fact, warnings have been issued by many national authorities on the side effects of the drugs and their use has been limited in many countries to clinical trials under strict supervision in hospital settings.WHO has cautioned physicians against recommending or administering unproven treatments to COVID-19 patients, and cautioned people against self-medicating with them. The consensus among world experts is that the potential exists but that far more studies are urgently needed to determine if existing antiviral drugs can be effective to treat COVID-19. If these treatments prove to be effective, they could reduce the burden of COVID-19."
3,                                What is the Solidarity Trial?                            ,"The Solidarity Trial is an international clinical trial to help find an effective treatment for COVID-19, launched by WHO and partners. It is hoped that one or more of the treatments under trial will result in improving clinical outcomes in COVID-19 patients and save lives. Other trials are on-going around the world in addition to the Solidarity Trial. Based on data from laboratory and clinical studies, Remdesivir, Lopinavir/Ritonavir, Lopinavir/Ritonavir with Interferon beta-1a, and hydroxychloroquine had been initially selected as treatment options. Following new evidence on the safety and efficacy of hydroxychloroquine as a treatment for hospitalized  COVID-19 patients, enrollment for this drug was temporarily suspended on 24 May 2020.Over 100 countries have expressed an interest in participating in the trial and WHO is actively supporting more than 60 of them, including with the following:ethical and regulatory approvals of the WHO core protocol;identification of hospitals participating in the trial;training of hospital clinicians on the web-based randomization and data system;shipping the trial drugs as requested by each participating country.To date, over 400 hospitals in 35 countries are actively recruiting patients and nearly 3500 patients have been enrolled from 17 countries.An interim trial analysis will be produced and will be monitored by an independent group of experts as the global Data and Safety Monitoring Committee."
4,                                What is a coronavirus?                            ,"Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19."
5,                                What is COVID-19?                            ,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019. COVID-19 is now a pandemic affecting many countries globally."
6,                                What are the symptoms of COVID-19?                            ,"The most common symptoms of COVID-19 are fever, dry cough, and tiredness. Other symptoms that are less common and may affect some patients include aches and pains, nasal congestion, headache, conjunctivitis, sore throat, diarrhea, loss of taste or smell or a rash on skin or discoloration of fingers or toes. These symptoms are usually mild and begin gradually. Some people become infected but only have very mild symptoms. Most people (about 80%) recover from the disease without needing hospital treatment. Around 1 out of every 5 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart and lung problems, diabetes, or cancer, are at higher risk of developing serious illness.  However, anyone can catch COVID-19 and become seriously ill.  People of all ages who experience fever and/or  cough associated withdifficulty breathing/shortness of breath, chest pain/pressure, or loss of speech or movement should seek medical attention immediately. If possible, it is recommended to call the health care provider or facility first, so the patient can be directed to the right clinic."
7,                                What should I do if I have COVID-19 symptoms and when should I seek medical care?                            ,"If you have minor symptoms, such as a slight cough or a mild fever, there is generally no need to seek medical care. Stay at home, self-isolate and monitor your symptoms. Follow national guidance on self-isolation.However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distance from other    people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice.Seek immediate medical care if you have difficulty breathing or pain/pressure in the chest. If possible, call your health care provider in advance, so he/she can direct you to the right health facility."
8,                                How does COVID-19 spread?                            ,"People can catch COVID-19 from others who have the virus. The disease spreads primarily from person to person through small droplets from the nose or mouth, which are expelled when a person with COVID-19 coughs, sneezes, or speaks. These droplets are relatively heavy, do not travel far and quickly sink to the ground. People can catch COVID-19 if they breathe in these droplets from a person infected with the virus.  This is why it is important to stay at least 1 meter) away from others. These droplets can land on objects and surfaces around the person such as tables, doorknobs and handrails.  People can become infected by touching these objects or surfaces, then touching their eyes, nose or mouth.  This is why it is important to wash your hands regularly with soap and water or clean with alcohol-based hand rub. WHO is assessing ongoing research on the ways that COVID-19 is spread and will continue to share updated findings.    "
9,                                Can COVID-19 be caught from a person who has no symptoms?                            ,COVID-19 is mainly spread through respiratory droplets expelled by someone who is coughing or has other symptoms such as fever or tiredness. Many people with COVID-19 experience only mild symptoms. This is particularly true in the early stages of the    disease. It is possible to catch COVID-19 from someone who has just a mild cough and does not feel ill.Some reports have indicated that people with no symptoms can transmit the virus. It is not yet known how often it happens. WHO is assessing ongoing research on the topic and will continue to share updated findings.
